,YearEnd,LocationAbbr,LocationDesc,DataValue,Stratification1
44443,2017,AR,Arkansas,12.9,"Black, non-Hispanic"
44664,2014,AR,Arkansas,17.5,"Black, non-Hispanic"
44686,2015,AR,Arkansas,11.3,Male
44698,2017,AR,Arkansas,0.0,"Other, non-Hispanic"
44725,2012,AR,Arkansas,11.3,Overall
44732,2016,AR,Arkansas,16.3,"Black, non-Hispanic"
44736,2014,AR,Arkansas,12.7,Overall
44749,2019,AR,Arkansas,13.6,Overall
44755,2012,AR,Arkansas,14.0,"Black, non-Hispanic"
44762,2013,AR,Arkansas,12.6,Male
44768,2017,AR,Arkansas,12.3,Overall
44772,2019,AR,Arkansas,10.9,"Other, non-Hispanic"
44794,2017,AR,Arkansas,12.1,Male
44813,2015,AR,Arkansas,10.7,"Other, non-Hispanic"
44839,2015,AR,Arkansas,12.6,Overall
44874,2013,AR,Arkansas,0.0,"Other, non-Hispanic"
44892,2019,AR,Arkansas,13.6,Male
44898,2018,AR,Arkansas,16.8,"Black, non-Hispanic"
44902,2011,AR,Arkansas,0.0,"Other, non-Hispanic"
45002,2011,AR,Arkansas,11.6,Male
45013,2018,AR,Arkansas,0.0,Hispanic
45022,2016,AR,Arkansas,13.4,"White, non-Hispanic"
45029,2015,AR,Arkansas,13.9,Female
45068,2016,AR,Arkansas,0.0,Hispanic
45101,2011,AR,Arkansas,11.2,Overall
45110,2018,AR,Arkansas,13.7,"White, non-Hispanic"
45120,2013,AR,Arkansas,10.5,Female
45124,2011,AR,Arkansas,10.7,Female
45129,2018,AR,Arkansas,15.0,"Other, non-Hispanic"
45131,2018,AR,Arkansas,0.0,"Multiracial, non-Hispanic"
45135,2013,AR,Arkansas,11.5,Overall
45170,2016,AR,Arkansas,0.0,"Other, non-Hispanic"
45292,2012,AR,Arkansas,20.4,"Other, non-Hispanic"
45300,2012,AR,Arkansas,0.0,Hispanic
45304,2014,AR,Arkansas,0.0,"Multiracial, non-Hispanic"
45326,2014,AR,Arkansas,12.2,"White, non-Hispanic"
45338,2017,AR,Arkansas,12.4,Female
45380,2016,AR,Arkansas,0.0,"Multiracial, non-Hispanic"
45403,2012,AR,Arkansas,0.0,"Multiracial, non-Hispanic"
45414,2014,AR,Arkansas,19.8,"Other, non-Hispanic"
45418,2014,AR,Arkansas,0.0,Hispanic
45426,2019,AR,Arkansas,13.6,Female
45432,2012,AR,Arkansas,10.6,"White, non-Hispanic"
45461,2014,CA,California,8.8,"Multiracial, non-Hispanic"
45554,2018,AZ,Arizona,10.8,Overall
45565,2013,CA,California,10.2,Female
45580,2018,CA,California,14.8,"Black, non-Hispanic"
45586,2016,AZ,Arizona,10.8,Overall
45596,2012,CA,California,14.9,"Black, non-Hispanic"
45606,2019,CA,California,10.1,Overall
45616,2016,CA,California,11.0,Hispanic
45632,2012,AZ,Arizona,0.0,"Multiracial, non-Hispanic"
45635,2013,CA,California,10.2,Overall
45645,2015,CA,California,10.0,Overall
45694,2014,AZ,Arizona,10.0,Overall
45706,2018,AZ,Arizona,0.0,"Multiracial, non-Hispanic"
45713,2011,CA,California,8.6,Female
45714,2011,CA,California,9.7,Hispanic
45724,2019,AZ,Arizona,9.5,"White, non-Hispanic"
45743,2015,CA,California,9.4,Female
45754,2013,CA,California,11.6,Hispanic
45756,2014,AZ,Arizona,10.5,"Multiracial, non-Hispanic"
45758,2017,CA,California,10.5,Overall
45776,2016,AZ,Arizona,13.2,"Multiracial, non-Hispanic"
45790,2016,CA,California,10.6,"Black, non-Hispanic"
45815,2014,CA,California,18.8,"Black, non-Hispanic"
45817,2015,AZ,Arizona,9.8,Male
45819,2012,AZ,Arizona,10.6,Overall
45824,2011,AZ,Arizona,9.0,Female
45834,2016,AZ,Arizona,9.5,Female
45859,2011,CA,California,7.0,"Multiracial, non-Hispanic"
45863,2017,CA,California,10.0,Female
45896,2019,CA,California,9.7,Female
45901,2019,CA,California,12.4,Hispanic
45937,2013,CA,California,12.3,"Multiracial, non-Hispanic"
45969,2018,CA,California,12.8,"Multiracial, non-Hispanic"
45977,2013,AZ,Arizona,11.3,Male
45999,2014,CA,California,11.5,Hispanic
46010,2011,AZ,Arizona,10.0,Male
46017,2017,AZ,Arizona,11.2,Male
46129,2014,AZ,Arizona,9.3,Female
46135,2019,AZ,Arizona,11.4,Male
46150,2012,AZ,Arizona,10.2,Female
46154,2011,CA,California,8.9,Overall
46170,2016,CA,California,8.0,"Multiracial, non-Hispanic"
46182,2013,AZ,Arizona,12.1,Hispanic
46194,2017,AZ,Arizona,10.4,Overall
46197,2017,AZ,Arizona,9.8,"White, non-Hispanic"
46210,2015,AZ,Arizona,0.0,"Multiracial, non-Hispanic"
46225,2018,CA,California,11.4,"Other, non-Hispanic"
46230,2016,CA,California,11.8,"Other, non-Hispanic"
46281,2015,AZ,Arizona,9.8,Hispanic
46324,2013,AZ,Arizona,9.8,"White, non-Hispanic"
46328,2013,AZ,Arizona,0.0,"Multiracial, non-Hispanic"
46351,2011,AZ,Arizona,8.0,"White, non-Hispanic"
46363,2018,AZ,Arizona,10.7,Female
46365,2015,AZ,Arizona,9.5,"White, non-Hispanic"
46375,2015,AZ,Arizona,10.1,Overall
46398,2017,AZ,Arizona,6.0,"Multiracial, non-Hispanic"
46438,2016,CA,California,9.0,"White, non-Hispanic"
46454,2011,CA,California,8.8,"Other, non-Hispanic"
46457,2018,CA,California,8.1,"White, non-Hispanic"
46520,2012,CA,California,8.3,"White, non-Hispanic"
46537,2012,CA,California,11.2,Hispanic
46554,2013,AZ,Arizona,10.7,Overall
46560,2011,AZ,Arizona,9.5,Overall
46572,2018,AZ,Arizona,10.8,Male
46665,2014,CA,California,8.7,"White, non-Hispanic"
46683,2012,CA,California,9.0,"Other, non-Hispanic"
46715,2019,CA,California,10.5,Male
46723,2012,CA,California,9.2,"Multiracial, non-Hispanic"
46725,2014,AZ,Arizona,10.8,Male
46734,2019,AZ,Arizona,10.9,Overall
46750,2011,AZ,Arizona,0.0,"Multiracial, non-Hispanic"
46752,2012,AZ,Arizona,11.0,Male
46777,2013,AZ,Arizona,12.9,"Black, non-Hispanic"
46781,2015,CA,California,10.7,Male
46789,2016,AZ,Arizona,12.2,Male
46808,2019,AZ,Arizona,17.8,"Black, non-Hispanic"
46878,2014,CA,California,9.4,"Other, non-Hispanic"
46889,2015,AZ,Arizona,12.1,"Black, non-Hispanic"
46899,2017,CA,California,11.0,Male
46900,2018,CA,California,11.8,Hispanic
46908,2017,AZ,Arizona,11.2,"Black, non-Hispanic"
46951,2018,AZ,Arizona,9.4,"White, non-Hispanic"
46962,2014,AZ,Arizona,9.7,"White, non-Hispanic"
46981,2017,CA,California,10.4,"Other, non-Hispanic"
46991,2011,CA,California,7.8,"White, non-Hispanic"
46994,2016,AZ,Arizona,10.8,"Other, non-Hispanic"
47008,2019,CA,California,8.5,"Other, non-Hispanic"
47036,2012,AZ,Arizona,12.4,Hispanic
47037,2012,AZ,Arizona,9.4,"White, non-Hispanic"
47038,2014,CA,California,10.9,Male
47059,2015,CA,California,11.5,"Other, non-Hispanic"
47152,2014,AZ,Arizona,9.0,"Other, non-Hispanic"
47180,2016,AZ,Arizona,10.2,"White, non-Hispanic"
47188,2017,CA,California,8.3,"White, non-Hispanic"
47211,2015,CA,California,8.2,"White, non-Hispanic"
47212,2011,AZ,Arizona,11.2,Hispanic
47242,2012,AZ,Arizona,9.9,"Other, non-Hispanic"
47382,2014,AZ,Arizona,10.5,"Black, non-Hispanic"
47397,2019,AZ,Arizona,12.0,Hispanic
47450,2011,AZ,Arizona,14.9,"Black, non-Hispanic"
47470,2017,AZ,Arizona,10.9,Hispanic
47516,2013,CA,California,7.6,"White, non-Hispanic"
47537,2018,AZ,Arizona,13.5,"Other, non-Hispanic"
47543,2013,CA,California,10.2,Male
47569,2019,CA,California,8.0,"White, non-Hispanic"
47575,2018,CA,California,10.6,Male
47582,2012,AZ,Arizona,14.7,"Black, non-Hispanic"
47598,2016,CA,California,10.4,Male
47621,2018,AZ,Arizona,12.4,"Black, non-Hispanic"
47630,2016,AZ,Arizona,13.8,"Black, non-Hispanic"
47656,2011,CA,California,9.2,Male
47684,2019,AZ,Arizona,0.0,"Multiracial, non-Hispanic"
47695,2013,CA,California,9.9,"Other, non-Hispanic"
47746,2013,CA,California,20.3,"Black, non-Hispanic"
47761,2017,CA,California,12.1,Hispanic
47824,2015,CA,California,11.0,Hispanic
47841,2019,CA,California,14.4,"Black, non-Hispanic"
47936,2014,CA,California,10.3,Overall
47957,2013,AZ,Arizona,12.7,"Other, non-Hispanic"
47967,2019,AZ,Arizona,14.6,"Other, non-Hispanic"
47989,2014,CA,California,9.7,Female
48015,2015,AZ,Arizona,14.9,"Other, non-Hispanic"
48026,2018,CA,California,10.4,Overall
48037,2017,CA,California,14.8,"Black, non-Hispanic"
48042,2011,CA,California,14.4,"Black, non-Hispanic"
48101,2017,AZ,Arizona,9.7,Female
48111,2015,CA,California,13.9,"Black, non-Hispanic"
48119,2018,CA,California,10.3,Female
48135,2012,CA,California,10.4,Male
48146,2016,CA,California,9.9,Female
48153,2011,AZ,Arizona,14.3,"Other, non-Hispanic"
48160,2018,AZ,Arizona,12.1,Hispanic
48179,2016,AZ,Arizona,11.5,Hispanic
48211,2019,AZ,Arizona,10.5,Female
48238,2016,CA,California,10.2,Overall
48293,2017,CA,California,11.9,"Multiracial, non-Hispanic"
48300,2015,AZ,Arizona,10.3,Female
48302,2012,CA,California,9.8,Overall
48306,2014,AZ,Arizona,10.5,Hispanic
48313,2019,CA,California,11.0,"Multiracial, non-Hispanic"
48319,2012,CA,California,9.2,Female
48355,2013,AZ,Arizona,10.0,Female
48358,2015,CA,California,6.3,"Multiracial, non-Hispanic"
48363,2017,AZ,Arizona,14.9,"Other, non-Hispanic"
48442,2015,CO,Colorado,5.4,"Other, non-Hispanic"
48455,2013,CO,Colorado,6.8,"Other, non-Hispanic"
48561,2017,CO,Colorado,12.3,"Other, non-Hispanic"
48625,2014,CO,Colorado,6.3,"White, non-Hispanic"
48645,2013,CO,Colorado,5.9,Female
48677,2019,CO,Colorado,3.9,"Other, non-Hispanic"
48705,2018,CO,Colorado,8.9,Hispanic
48758,2016,CO,Colorado,8.0,"Multiracial, non-Hispanic"
48803,2014,CO,Colorado,7.4,"Multiracial, non-Hispanic"
48804,2011,CO,Colorado,10.4,"Black, non-Hispanic"
48816,2019,CO,Colorado,6.0,"White, non-Hispanic"
48835,2018,CO,Colorado,0.0,"Multiracial, non-Hispanic"
48884,2016,CO,Colorado,8.2,Hispanic
48933,2014,CO,Colorado,10.2,Hispanic
48951,2012,CO,Colorado,7.1,"Other, non-Hispanic"
48954,2017,CO,Colorado,6.2,"White, non-Hispanic"
48968,2011,CO,Colorado,3.6,"Multiracial, non-Hispanic"
48992,2018,CO,Colorado,7.0,Overall
49035,2011,CO,Colorado,8.9,"Other, non-Hispanic"
49085,2012,CO,Colorado,8.2,Male
49118,2015,CO,Colorado,5.6,"White, non-Hispanic"
49128,2013,CO,Colorado,5.4,"White, non-Hispanic"
49155,2017,CO,Colorado,7.4,Male
49159,2012,CO,Colorado,6.6,Female
49162,2016,CO,Colorado,6.6,Overall
49214,2014,CO,Colorado,7.3,Overall
49248,2011,CO,Colorado,6.1,Female
49322,2019,CO,Colorado,7.1,Male
49372,2015,CO,Colorado,7.6,Male
49378,2011,CO,Colorado,10.3,Hispanic
49386,2013,CO,Colorado,7.1,Male
49400,2013,CO,Colorado,8.6,"Black, non-Hispanic"
49418,2011,CO,Colorado,5.5,"White, non-Hispanic"
49490,2016,CO,Colorado,6.9,Male
49539,2019,CO,Colorado,7.0,Overall
49542,2017,CO,Colorado,7.4,Overall
49587,2015,CO,Colorado,11.4,"Black, non-Hispanic"
49592,2017,CO,Colorado,9.4,"Black, non-Hispanic"
49655,2019,CO,Colorado,9.7,"Black, non-Hispanic"
49729,2018,CO,Colorado,7.2,Male
49739,2013,CO,Colorado,6.5,Overall
49824,2012,CO,Colorado,7.4,Overall
49838,2014,CO,Colorado,7.0,Female
49883,2018,CO,Colorado,6.9,Female
49928,2016,CO,Colorado,6.4,Female
49957,2014,CO,Colorado,7.5,Male
50106,2012,CO,Colorado,11.5,Hispanic
50115,2014,CO,Colorado,7.7,"Other, non-Hispanic"
50120,2018,CO,Colorado,6.2,"Other, non-Hispanic"
50155,2014,CO,Colorado,10.0,"Black, non-Hispanic"
50159,2015,CO,Colorado,10.4,Hispanic
50191,2011,CO,Colorado,6.7,Overall
50198,2016,CO,Colorado,5.7,"Other, non-Hispanic"
50231,2018,CO,Colorado,9.7,"Black, non-Hispanic"
50243,2012,CO,Colorado,9.2,"Multiracial, non-Hispanic"
50260,2011,CO,Colorado,7.4,Male
50285,2016,CO,Colorado,6.8,"Black, non-Hispanic"
50329,2017,CO,Colorado,10.0,Hispanic
50339,2016,CO,Colorado,6.1,"White, non-Hispanic"
50379,2012,CO,Colorado,12.1,"Black, non-Hispanic"
50384,2019,CO,Colorado,10.6,Hispanic
50416,2015,CO,Colorado,6.8,Overall
50429,2015,CO,Colorado,5.9,Female
50439,2013,CO,Colorado,10.1,"Multiracial, non-Hispanic"
50450,2012,CO,Colorado,6.1,"White, non-Hispanic"
50471,2017,CO,Colorado,0.0,"Multiracial, non-Hispanic"
50474,2017,CO,Colorado,7.4,Female
50527,2019,CO,Colorado,7.7,"Multiracial, non-Hispanic"
50528,2019,CO,Colorado,6.9,Female
50548,2018,CO,Colorado,6.4,"White, non-Hispanic"
50571,2015,CO,Colorado,0.0,"Multiracial, non-Hispanic"
50581,2013,CO,Colorado,9.2,Hispanic
50608,2018,CT,Connecticut,7.9,"Other, non-Hispanic"
50645,2013,CT,Connecticut,8.2,Hispanic
50662,2016,CT,Connecticut,9.1,"White, non-Hispanic"
50666,2017,CT,Connecticut,12.5,Hispanic
50706,2015,CT,Connecticut,11.5,Hispanic
50712,2014,CT,Connecticut,9.4,Male
50720,2011,CT,Connecticut,12.5,Hispanic
50739,2018,CT,Connecticut,9.1,"White, non-Hispanic"
50776,2011,CT,Connecticut,8.4,"White, non-Hispanic"
50790,2013,CT,Connecticut,7.7,"White, non-Hispanic"
50826,2015,CT,Connecticut,9.3,Overall
50833,2019,CT,Connecticut,10.1,Hispanic
50852,2012,CT,Connecticut,7.3,"Other, non-Hispanic"
50866,2017,CT,Connecticut,9.8,Overall
50871,2016,CT,Connecticut,10.2,Male
50916,2014,CT,Connecticut,8.2,"White, non-Hispanic"
50928,2018,CT,Connecticut,10.7,Male
50969,2012,CT,Connecticut,10.8,Male
51017,2014,CT,Connecticut,0.0,"Other, non-Hispanic"
51027,2019,CT,Connecticut,9.6,Overall
51052,2014,CT,Connecticut,10.7,Hispanic
51056,2016,CT,Connecticut,10.8,Hispanic
51098,2018,CT,Connecticut,9.1,Hispanic
51155,2012,CT,Connecticut,11.5,Hispanic
51160,2016,CT,Connecticut,15.4,"Black, non-Hispanic"
51192,2012,CT,Connecticut,8.3,"White, non-Hispanic"
51200,2018,CT,Connecticut,15.3,"Black, non-Hispanic"
51214,2019,CT,Connecticut,10.5,"Other, non-Hispanic"
51313,2017,CT,Connecticut,10.6,Male
51324,2019,CT,Connecticut,10.4,Male
51325,2015,CT,Connecticut,10.3,Male
51339,2011,CT,Connecticut,7.5,"Other, non-Hispanic"
51349,2013,CT,Connecticut,6.5,"Other, non-Hispanic"
51385,2014,CT,Connecticut,17.6,"Black, non-Hispanic"
51425,2016,CT,Connecticut,6.9,"Other, non-Hispanic"
51437,2011,CT,Connecticut,9.9,Male
51449,2013,CT,Connecticut,9.2,Male
51460,2012,CT,Connecticut,12.3,"Black, non-Hispanic"
51512,2014,CT,Connecticut,0.0,"Multiracial, non-Hispanic"
51522,2011,CT,Connecticut,8.8,Female
51543,2019,CT,Connecticut,15.5,"Black, non-Hispanic"
51562,2013,CT,Connecticut,7.6,Female
51575,2017,CT,Connecticut,9.0,Female
51583,2017,CT,Connecticut,15.0,"Black, non-Hispanic"
51639,2018,CT,Connecticut,9.7,Overall
51682,2012,CT,Connecticut,0.0,"Multiracial, non-Hispanic"
51728,2015,CT,Connecticut,14.3,"Black, non-Hispanic"
51736,2015,CT,Connecticut,8.3,Female
51742,2018,CT,Connecticut,10.2,"Multiracial, non-Hispanic"
51791,2012,CT,Connecticut,9.1,Overall
51803,2017,CT,Connecticut,8.4,"Other, non-Hispanic"
51822,2016,CT,Connecticut,10.1,"Multiracial, non-Hispanic"
51867,2015,CT,Connecticut,6.8,"Other, non-Hispanic"
51872,2019,CT,Connecticut,8.8,Female
51885,2013,CT,Connecticut,14.0,"Black, non-Hispanic"
51917,2017,CT,Connecticut,8.6,"White, non-Hispanic"
51954,2019,CT,Connecticut,8.4,"White, non-Hispanic"
51969,2012,CT,Connecticut,7.6,Female
51978,2015,CT,Connecticut,8.2,"White, non-Hispanic"
51980,2014,CT,Connecticut,9.1,Female
52012,2018,CT,Connecticut,8.7,Female
52030,2013,CT,Connecticut,0.0,"Multiracial, non-Hispanic"
52031,2014,CT,Connecticut,9.2,Overall
52050,2011,CT,Connecticut,14.5,"Black, non-Hispanic"
52069,2016,CT,Connecticut,9.5,Female
52113,2016,CT,Connecticut,9.8,Overall
52120,2011,CT,Connecticut,0.0,"Multiracial, non-Hispanic"
52121,2013,CT,Connecticut,8.3,Overall
52225,2019,CT,Connecticut,14.3,"Multiracial, non-Hispanic"
52240,2011,CT,Connecticut,9.3,Overall
52316,2015,CT,Connecticut,14.8,"Multiracial, non-Hispanic"
52323,2017,CT,Connecticut,11.9,"Multiracial, non-Hispanic"
52333,2012,DE,Delaware,10.8,Male
52355,2012,DE,Delaware,12.6,"Black, non-Hispanic"
52402,2015,DE,Delaware,10.8,Female
52429,2016,DE,Delaware,11.1,Male
52430,2018,DE,Delaware,11.8,"White, non-Hispanic"
52440,2014,DE,Delaware,11.6,Male
52456,2018,DE,Delaware,13.2,Male
52522,2013,DE,Delaware,5.3,"Other, non-Hispanic"
52531,2012,DE,Delaware,0.0,Hispanic
52604,2019,DE,Delaware,11.4,"Other, non-Hispanic"
52633,2017,DE,Delaware,10.5,Female
52751,2014,DE,Delaware,0.0,"Other, non-Hispanic"
52754,2012,DE,Delaware,9.5,"White, non-Hispanic"
52778,2019,DE,Delaware,13.9,Male
52803,2016,DE,Delaware,10.5,"White, non-Hispanic"
52899,2014,DE,Delaware,10.5,"White, non-Hispanic"
