"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","LocationDisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"100277","2013","2013","2013","MD","Maryland","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","48.6","","","47.1","50.1","11,194","39.290580964","-76.609260111","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","24","","","",""
"47176","2013","2013","2013","MA","Massachusetts","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","54.5","","","53.1","55.9","13,145","42.27687047","-72.082690675","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","25","","","",""
"52696","2013","2013","2013","MI","Michigan","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","53.1","","","51.8","54.3","11,826","44.661319543001","-84.71439027","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","26","","","",""
"76319","2013","2013","2013","MN","Minnesota","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","52.7","","","51.1","54.3","12,903","46.355648736","-94.794200503","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","27","","","",""
"45132","2013","2013","2013","MS","Mississippi","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","37.4","","","35.7","39.1","6,711","32.745510099","-89.538030825","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","28","","","",""
"96445","2013","2013","2013","MO","Missouri","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","48.6","","","46.8","50.5","6,587","38.635790776","-92.566300053","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","29","","","",""
"50134","2013","2013","2013","MT","Montana","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","57.8","","","56.4","59.3","8,974","47.066528972","-109.424420645","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","30","","","",""
"81051","2013","2013","2013","NE","Nebraska","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","50.1","","","48.8","51.4","15,730","41.641040988001","-99.365720623","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","31","","","",""
"55118","2013","2013","2013","NV","Nevada","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","53.6","","","50.9","56.3","4,649","39.49324039","-117.071840564","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","32","","","",""
"47705","2013","2013","2013","NH","New Hampshire","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","55.4","","","53.7","57.2","5,768","43.655950113","-71.50036092","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","33","","","",""
"79047","2013","2013","2013","NJ","New Jersey","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","50.5","","","49.1","51.9","11,606","40.130570048","-74.273691288","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","34","","","",""
"83416","2013","2013","2013","NM","New Mexico","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","55.0","","","53.4","56.6","8,275","34.520880952","-106.240580985","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","35","","","",""
"71379","2013","2013","2013","NY","New York","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","47.3","","","45.8","48.8","7,758","42.827001032","-75.543970427","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","36","","","",""
"86023","2013","2013","2013","NC","North Carolina","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","48.6","","","47.1","50.1","8,073","35.466220975","-79.159250463","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","37","","","",""
"52563","2013","2013","2013","ND","North Dakota","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","45.3","","","43.6","46.9","7,100","47.475319779","-100.118421049","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","38","","","",""
"86893","2013","2013","2013","OH","Ohio","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","49.5","","","48.1","51.0","10,746","40.060210141","-82.404260056","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","39","","","",""
"73610","2013","2013","2013","OK","Oklahoma","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","43.9","","","42.5","45.4","7,625","35.472031356","-97.521070214","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","40","","","",""
"51129","2013","2013","2013","OR","Oregon","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","64.1","","","62.2","65.9","5,184","44.567449424","-120.155031326","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","41","","","",""
"97357","2013","2013","2013","PA","Pennsylvania","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","47.8","","","46.5","49.1","10,110","40.793730152","-77.860700294","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","42","","","",""
"88379","2013","2013","2013","RI","Rhode Island","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","49.1","","","47.3","50.9","5,689","41.708280193","-71.522470314","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","44","","","",""
"87686","2013","2013","2013","SC","South Carolina","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","49.1","","","47.7","50.5","9,637","33.998821303","-81.045371207","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","45","","","",""
"73114","2013","2013","2013","SD","South Dakota","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","53.7","","","51.6","55.7","6,423","44.353130053","-100.373530637","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","46","","","",""
"74750","2013","2013","2013","TN","Tennessee","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","37.7","","","35.8","39.6","5,002","35.68094058","-85.774490914","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","47","","","",""
"75238","2013","2013","2013","TX","Texas","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","42.1","","","40.6","43.7","9,672","31.827240407","-99.426770206","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","48","","","",""
"72997","2013","2013","2013","UT","Utah","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","55.3","","","54.1","56.4","11,589","39.360700171","-111.587130635","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","49","","","",""
"87249","2013","2013","2013","VT","Vermont","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","58.8","","","57.1","60.4","5,792","43.625381239","-72.517640791","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","50","","","",""
"97025","2013","2013","2013","VA","Virginia","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","51.9","","","50.3","53.4","7,483","37.542680674","-78.457890463","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","51","","","",""
"46371","2013","2013","2013","WA","Washington","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","56.3","","","55.0","57.6","10,422","47.522278629","-120.47001079","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","53","","","",""
"77881","2013","2013","2013","WV","West Virginia","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","47.6","","","46.0","49.2","5,587","38.665510202","-80.712640135","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","54","","","",""
"44739","2013","2013","2013","WI","Wisconsin","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","53.4","","","51.3","55.4","5,652","44.393191174","-89.816370742","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","55","","","",""
"73527","2013","2013","2013","WY","Wyoming","BRFSS","Physical Activity","Physical Activity - Behavior","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination) †","","","VALUE","Value","54.2","","","52.4","56.1","5,796","43.235541343","-108.109830353","PA","PA1","Q043","","Total","OVR","Total","OVERALL","","","","","","","","","56","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","†","Respondents were classified as active if they reported at least 150 minutes per week of moderate-intensity activity, or at least 75 minutes per week of vigorous-intensity activity, or a combination of moderate-intensity and vigorous-intensity activity (multiplied by two) totaling at least 150 minutes per week.Adults aged = 18 years.Respondents whose physical activity level could not be categorized due to missing physical activity data were excluded.","","Footnote"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Behavioral Risk Factor Surveillance System ","https://www.cdc.gov/brfss/","Data Source"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Centers for Disease Control and Prevention.National Center for Chronic Disease Prevention and Health Promotion, Division of Nutrition, Physical Activity, and Obesity.Data, Trend and Maps [online].","/nccdphp/dnpao/data-trends-maps/index.html","Suggested Citation"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Breastfeeding","/breastfeeding/index.htm","Related Links"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Division of Nutrition, Physical Activity, and Obesity","/nccdphp/dnpao/index.html","Related Links"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Physical Activity","/physicalactivity/index.html","Related Links"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chronic Disease Prevention and Health Promotion","/chronicdisease/index.htm","Related Links"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Overweight and Obesity","/obesity/index.html","Related Links"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","State and Local Programs","/nccdphp/dnpao/state-local-programs/index.html","Related Links"
